x,y
0.00,35.84
1.00,37.14
2.00,38.44
3.00,39.74
4.00,41.04
5.00,42.34
6.00,43.64
7.00,44.94
8.00,46.24
9.00,47.54
10.00,48.84
11.00,50.14
12.00,51.44
13.00,52.74
14.00,54.04
15.00,55.34
16.00,56.64
17.00,57.94
18.00,59.24
19.00,60.54
20.00,61.84
21.00,63.14
22.00,64.44
23.00,65.74
24.00,67.04
25.00,68.34
26.00,69.64
27.00,70.94
28.00,72.24
29.00,73.54
30.00,74.84
31.00,76.14
32.00,77.44
33.00,78.74
34.00,80.04
35.00,81.34
36.00,82.64
37.00,83.94
38.00,85.24
39.00,86.54
40.00,87.84
41.00,89.14
42.00,90.44
43.00,91.74
44.00,93.04
45.00,94.34
46.00,95.64
47.00,96.94
48.00,98.24
49.00,99.54
50.00,100.84
51.00,102.14
52.00,103.44
53.00,104.74
54.00,106.04
55.00,107.34
56.00,108.64
57.00,109.94
58.00,111.24
59.00,112.54
60.00,113.84
61.00,115.14
62.00,116.44
63.00,117.74
64.00,119.04
65.00,120.34
66.00,121.64
67.00,122.94
68.00,124.24
69.00,125.54
70.00,126.84
71.00,128.14
72.00,129.44
73.00,130.74
74.00,132.04
75.00,133.34
76.00,134.64
77.00,135.94
78.00,137.24
79.00,138.54
80.00,139.84
81.00,141.14
82.00,142.44
83.00,143.74
84.00,145.04
85.00,146.34
86.00,147.64
87.00,148.94
88.00,150.24
89.00,151.54
90.00,152.84
91.00,154.14
92.00,155.44
93.00,156.74
94.00,158.04
95.00,159.34
96.00,160.64
97.00,161.94
98.00,163.24
99.00,164.54
